parent location,location,long lat,description,directions,route names
Castle Rock Area,Goat Rock,"37.2282, -122.1079","Goat Rock is tucked a fair way back from the main Castle Park area, but it's worth the beautiful hike in. 
 
It's a pretty sweet mix of slabs and overhung, cave-like climbs, with lots of pockets all around. 
 
The rock itself is 110 feet high, but the routes run no longer than 80 feet. 
 
From the top you get an even more breathtaking view of the valley. 
 
All the climbs have top-rope bolts except ""Left Side of Great Roof"" which has 3 bolts to a 2 bolt anchor. 
 
The climbs range from 5.4 to 5.12a, with something for everyone. 
 
This rock is great if you have people with varying skill levels in your group. 
 
The top rope bolts are easily accessed, but you should definitely bring long slings to set up your top rope if you want your rope to last on this sandstone. 
 
If you're planning on staying 'til sundown don't forget to bring a headlamp or flashlight... otherwise the hike out gets very tricky. 
 
Classics on Goat Rock include Great Roof (5.10b) and the Left Side (5.12a) for more advanced climbers, and Swiss Cheese (5.4-5.7) for less experienced climbers.","From the main Castle Rock parking lot, take the Saratoga Gap Trail west toward Castle Rock Falls. You will cross Kings Creek, then at the fork in the trail, turn right onto Ridge Trail. If you reach the observation platform for Castle Rock Falls you have gone past the fork. Passing by Last Temptation Cliff and Billy Goat rock on your right, you will come to Goat Rock on the left side. It's about a 1.3 to 1.5 mile hike in, with a decent amount of uphill walking, on a fairly small but well-traveled trail.","Center Route TR 
Corner Route T 
Goat Rock Traverse 
Great Roof, The TR 
Swiss Cheese T,TR 
Triple Overhang TR"
San Francisco,Cliff House Boulders,"37.77778, -122.51362","Located at the far north end of Ocean Beach, this wall contains a handful of somewhat high-ball boulder problems best described as ""okay"". Sometimes the tide is high enough to flood the landing, so check the water level in advance or be prepared to climb somewhere else instead. 
 
The approach is a public beach, but the wall itself rests in an alcove that's mostly out of everyone's way; not that many beachgoers will come over and bother you. 
 
Wear sandals unless you like broken glass, jellyfish, and hot, coarse sand.","Park near the north end of Ocean Beach (Great Highway @ Balboa Street) and access the beach just like all the other beachgoers do. Walk north through the sand until you find a wall that looks boulderable, just left of a large walk-in cave.",
Coyote Hills,Castle Rock Boulder,,"Very Noticeable, right above the parking lot","Walk directly towards it from the parking lot, you'll know where it is.",I asked the Internet
Coyote Hills,Red Hill,,"Rocky, red, and the highest point within the park",Follow the obvious trails. Everything is marked.,Fully Commited
San Francisco,Glen Canyon,"37.7408, -122.4398","This bouldering area is located inside the city of San Francisco in Glen Canyon park, this offers the best and most varied bouldering in the city. 
 
There are also several top rope possibilities, though for most options you should bring slings and trad gear. A few bolts do exist, but there are not enough to consider this a top-roping area. 
 
Climbing is on very sharp, juggy rock that presents itself as large flakes, mostly pointing up. This rock is known as Radiolaria. 
 
Climbing off is simple, walk off to the hillside above, and walk back down the other side.","To get to Glen Canyon, go into San Francisco and find your wayonto the 280.Exit on the Monterey Blvd exit, and take a sharp right ontoMonterey Blvd.Take a quick left on Diamond Street, and 1/3 of a mile later goleft on Bosworth. 
 
Go a block, and head right on Elk street, which up the hill willrun into Berkeley Way. You should go left on Berkeley way, andthen another left on Crags Court. At the end of Crags Court, youwill find a turn around, where you can park. You will find thepark itself by taking the trail that leads from the end of thecul de sac and heads downhill into the open Glen Canyon Park.","Thistle Arete 
Thistle boulder eliminate"
Indian Joe Caves,Cleavage Rock,"37.52496, -121.8179",Cleavage Rock.,At Indian Joe Caves.,"Bat Crack T 
Cleavage, The TR 
Highstep Face Traverse TR 
Left Side of the North Face on the North Rock TR 
Middle Right Side of the North Face on the North Ro, The T,TR 
Right Side Arete on the North Face of the North Roc, The TR 
Shoelace Joe TR 
West face of Northwest Rock Face TR 
West face of Northwest Rock Roof Problem TR"
Indian Joe Caves,Indian Joe Caves bouldering,"37.52484, -121.81869",the boulders of indian joe caves only. please contribute.,see directions to indian joe caves,Bushwacker Direct Low
Mickey's Beach,Center Bouldering Rock (or the Beach Boulder),"37.88939, -122.63301","This shorter bouldering rock contains some exellent, but shortjug hauls and traverse routes. The left (east) face alsocontains excellent warmup terrain, a great spot for warming upfor climbing or bouldering at Mickey's Beach. Routes range fromV0 to approximately V4, depending on the current sand height. 
 
Climbing on this rock is tide and sand dependant, at high tideyou'll find the starts in the surf, which make for hurried, dirtystarts. At low sand you will still find excellent warmups,though 1-2 move routes instead of 4-5 moves. 
 
Decending from the top of this rock is no problem regardless ofthe sand height, though your jump down onto the sand will be alittle more interesting!","Approach time: 6 - 16 minutes. 
 
From the main rock, head down to the beach headed for the largestbouldering rock. From the viewpoint of the main rock, this rockis just to the left of the highest bouldering rock. Many climbsare located on the north side, which is on the nudist side of therock.","Nudist Side Jug Haul 
Yuji's Dyno"
Mickey's Beach,Danger Rock (or Orange Buddha Rock),"37.88949, -122.63291","This Bouldering rock is home to several interesting routes, and is worth bouldering at when the sand is low (which is usually winter - late spring.) 
 
It's on the beach, so chances are pretty good that the rock will be in the fog. It might be in the sun, in which case it will probably be windy there. 
 
You can walk off all routes via another rock, or in the summer you can just hop off. 
 
BEWARE that this is in a large nudist area, and there will be sprawls of naked people wandering around during the weekends. If this offends you, you should probably head elsewhere.","From the main parking lot, head down the path to the main rock junction. Head right along the beach for about 150 yards passing several larger boulders that probably have chalk on them. You will pass through a corridor and finally head left back onto the main beach, and this will be Danger Rock. 
 
If you're in doubt, wander around to the beach side where you will see danger stamped on the top of the rock. The is also the last rock of the main Mickey's beach bouldering for several hundred yards.","Baseball 
Belly Of The Buddha 
Crimpy V4 
Diagnol Ramp 
Don't Worry be Slappy 
Grace Face 
Kiki's Big Adventure 
Lowest Start V4 
Orange Buddha Arete 
Orange Buddha Arete (Low) 
Orange Pleasure (right finish) 
Tourist Patrol 
Unnamed Sidepull"
Mickey's Beach,The Green Monster,"37.8886, -122.6327","The highest bouldering rock at Mickey's beach reaches animpressive 30 feet above ground, and contains tough and some easyroutes on all sides but the ocean side. You can find V1ishclimbing on almost all sides of the rock. 
 
Climbing on the west side of the rock will probably eventually betopropeable, as the landings down below aren't too friendly to 30foot falls. 
 
Tide Dependant, this rock will sometimes have starts in thewater, so watching the tide charts is essential to a goodclimbing experience at all rocks on Mickey's Beach, except forthe west face of the main rock. The picture below is taken at ahigh tide, though the section shown is usually beach until wellpast the leftmost boulder.","Approach time: 5 - 15 minutes. 
 
From the main rock, this is the largest rock on the beach to thewest. Walk down the pathway, or the ramp from the climbingsections on the main rock onto the beach, and it is the 30 foottall pointy rock on the beach.",South Face Highest Bouldering Rock - straight up
Stinson Beach,Are You Experienced Boulder,"37.89172, -122.63528",Are You Experienced boulder.,At Stinson Beach.,"Arete 
Central Scrutinizer 
Little Wing 
Smiley Face (stand)"
Stinson Beach,Old Man Boulder,"37.89176, -122.63552",Old Man Boulder at Stinson.,One of the northernmost boulders at Stinson Beach.,"High Tide Traverse 
V3/5.11 TR"
Stinson Beach,South Boulder,"37.89132, -122.63482",South Boulder at Stinson Beach.,South of the main area.,V1
Mickey's Beach,Tennessee Valley Beach,"37.8409, -122.5516","This climbing area is situated on the cliffs that are right on the beach at the end of the Tennessee Valley trail. The only climbing I have seen there has been bouldering on the lower ends of the cliffs and overhangs, but for anyone looking to do some roped climbing you could give it a shot. Living in the area and having worked specifically on that beach for 4 months with the NPS, I can say that it may be sunny everywhere else in the county, but chances are its going to be 15 degrees colder on the beach and likely some fog. The rock can be slippery on wetter days so bring some chalk and a towel. You don't even need a bouldering pad because you are cushioned by the sand or water. Usually this beach has a small amount of people on it. 
 
Best to go when tide is low or around neutral. Requires a small hike of about 1.5 miles.",From San Francisco take 101 south. Take the Stinson beach exit before heading onto the Richardson Bay overpass. There should be some sea planes on your right. Take a left on Marin Ave. and continue until you take a left onto Tennessee Valley road. Follow the road for about 1.5 miles until you come to the parking lot. From there it is a 1.5 mile hike to the beach. Look for the cliffs on both the north and south sides of the beach.,
Mickey's Beach,Way of the Wah (AKA the cave),"37.8894, -122.63294",In the Cave adjacent to the orange buddha boulder on beach level. Usually wet and not ideal landing conditions most of the year. Driest and best sand levels are around August.,"Opposite of the ""danger boulder"" where ""Hammerhead"" traverses, is a tall dark overhanging wall, underneath and on the other side, starting matched on edge rail system and going left up , is the Way of the Wah.",Way of the Wah
Mount Tamalpais,ATF Boulder,,ATF Boulder on Mount Tam.,The ATF Boulder above the road located 0.7 miles up from the Rock Springs parking lot.,"38 Special 
ATF traverse 
Deadwood 
Limb Burger 
Snake Charmer 
Target Practice 
Underclings, The 
Warm Up Crack"
Mount Tamalpais,Bay View Boulder,"37.91939, -122.60555",Excellent boulder with a hand full of fun boulders and a great view of San Francisco and the Pacific. The rock primarily faces south-east; thus gets afternoon shade with almost always pleasant conditions.,Located approximately 0.7 miles towards the summit from the fork at the Rock Springs Parking Area across the road from ATF. You literally park on top of the boulder.,"Bay View Crimp 
Cynic Cruise 
Liechen Detector 
Scenic Cruise 
Stand 
Tiny Pinches 
Truth Serum"
Mount Tamalpais,Bootjack Boulder,,"drunkenmaster wrote: 
 
""FYI - I cleaned and did that one first and called it ""Intuition"". There was also a good variation to it i called ""Instinct"" before some holds broke making it less appealing. The sit down left is V5 and the right arete ""Bootjack Arete"" V3 sit or V7 low sit is great too I think. 
 
There's a lot more info on new tam stuff on my blog Summit of Plummet """,On Mount Tam.,"Bootjack Arete Sit 
Intuition"
Mount Tamalpais,Mount Tam - Other Problems,,A holding area for random old problem pages on Mount Tam until boulder pages are created for them.,See each problem for details.,"Cumble Mumble 
Project"
Mount Tamalpais,Ravine Boulder,"37.91288, -122.59681",Ravine Boulder in Mount Tam.,"Located right off of dirt pull-out, across from the Bootjack boulders, 1/4 mi. down the road from Bootjack parking area.","Bonum Vitae 
Wicked"
Mori Point,TW Wall,"37.61424, -122.49607","solid wall, middle section a bit choss. 
 
TW spray painted on wall","hike up a hill, 15-20 min approach next to warmup boulder.","Lines 
Low Start 
XOXO"
Mori Point,Warmup Boulder,"37.61422, -122.49601","warmup boulder. everything solid. seems almost fake? seems to be rust on some spots after a rain. 
 
one pad is nice. two or three solid lines. 
 
DYNO to the top!?",hike up a hill,
Pacifica Headlands,Rock Away Boulder,,"Beach side boulder. Located on the northern end of rock away beach. Time of year will dictate weather. Surely to have a few spectators on a nice day, beach access.","Take HWY 1 to Pacifica, and turn onto Rock Away beach ave. Park in the northern parking lot, which can be accessed at the first right (Old County Road). Free parking and located about 100 yards from the parking lot. You will have to cross a small to large runoff creek depending on the tide.","Drop Knee Included 
Sidepull V1"
Pacifica Headlands,San Pedro Boulder,"37.60563, -122.50119","This is a 15 foot high boulder at the base of the bluff just north of Lindamar Beach. The rock is mostly good quality, but is definitely loos and not to be trusted on the South aspect.",From Lindamar Beach walk North on the bike path. as you approach the bluff step off the paved bike path and on to a dirt trail that follows the base of the bluff. You will pass one collection of rocks about 20 feet up the hill from the trail before you reach this boulder that sits in the middle of the trail.,"East Side Center 
North Side 
South Side 
West Side Center"
Ring Mountain,Split Rock,"37.91172, -122.48515","Split Rock is an area comprised of two ~50' boulders split down the middle by a 3-6' wide chimney. The outer parts of each boulder offer some easy toprope climbing and fun bouldering, while the chimney area offers about 10 toprope climbs.The rock is that interesting mixture that makes up all the climbing at Ring Mountain; it's easy to crimp and hold with the hands, but can be slippery on the feet.","From the end of Taylor Rd, take the trail that runs due west (not through the gate) for about 50 yards. You can't miss it.","Corner Crack T,TR 
Just Inside the Crack-Left TR 
Just Inside the Right Arete TR 
North Face TR 
North Face Arete TR 
North Face Crack Left T,TR 
North Face Crack Right T,TR 
Right Crack Mouth Arete TR 
Split Backside TR 
Split Backside Right Variation TR 
Western Side in Split - Right Side TR"
Ring Mountain,Turtle Rock,"37.91104, -122.49157","This Bouldering area is the best close-in bouldering area in the bay. Located just west of the parking area, it's a pretty easy walk from the parking area. 
 
Offering nearly 360 degrees of overhung bouldering fun, this rock reaches 20 feet high in some places, and offers moves of all variety. Some people choose to top rope the highest section, as it's a fairly long drop to the ground from high up on the rock. 
 
All routes can be walked off, as one side of the rock runs into the gentle hillside.","From the main parking area, walk through the rightside gate and go up the paved road past the large pink mansion that was recently built. The pavement will end and the top of meatball rock will just out of the trees 50 feet right of the path. Continue on a smoothly graded gravel path that will take you up to the crest of the hill. From the crest, there is a large right offshoot, which you should take. This will head gently downhill to Turtle Rock, which is another 200 yards further.","Harmony 
Traverse Jr. 
Turtle Rock Traverse"
Angwin,Mossy Rock,"38.56921, -122.42372","Boulder with climbs 12-20 feet high located on property owned by Pacific Union College, currently accessible to the public. Located within forest, thus shady throughout the day. Mosquitoes are bad during spring and early summer. Although most climbs are usually bouldered, all can be top-roped from tree anchors in combination with rusty bolt anchors for a directional (double bolts with a chain above main south face, single hangerless bolts on each end). Names of climbs are given as a convenience for the climbing community, but if anybody knows of earlier names (or objects to new names coined for old problems), I would happily rename (or delete) them.","From the junction of Silverado Trail and Deer Park Road in St. Helena, drive 5.4 miles north on Deer Park Road, which eventually becomes Howell Mountain Road, to the campus of Pacific Union College. Turn right on Cold Springs Road and, after 0.2 mile, continue straight across an intersection onto Las Posadas Road (Cold Springs Road turns right) for another 0.9 mile to a 90-degree bend in the road. Park at the bend of the road and hike on the trail that proceeds east (the same direction you were just driving). After about 0.1 mile you cross a fence and a dirt road, then reach a fork after another 0.1 mile. Stay right at the fork and continue about 0.4 mile until you see Mossy Rock on the left.","Dirty Dancin 
Dreamweaver TR 
Fancy Free TR 
Footloose TR 
Highlight of Twilight 
Humpty Dumpty 
Monkey See Monkey Do 
Mossy Monster 
Mossy Rock Traverse 
No Brain No Pain 
Pillar of Doom 
Relativity 
Squeal if You Peel TR 
Tears of the Lorax 
Wing It or Ding It"
Fort Ross,Main Boulder,"38.52311, -123.26389","Does a 20' high boulder with rough starts and highball finishes sound interesting to you? Welcome to the main boulder at Fort Ross. Climbing is either easy (V0 - V1) or HARD (V4 - V9ish). Nothin' in between. 
 
Easy bouldering (on the right side) entails an excellent but challenging start up to a slab that has excellent feet, and commiting hands. 
 
Strangely enough, the same can be said about the harder bouldering! Except that the harder section is entirely overhung (instead of the slab), and contains jugs and not at all jugs on highball solid sandstone over soft sand in the summer. 
 
No access issues. 
 
Bring pad(s). 
 
The Main boulder will see sun from about noon to late afternoon in the summer, but you're right on the beach, so if you overheat, go for a swim in the relatively gentle surf. 
 
All hard stuff on the overhung section is a classic. All easy stuff is fun, but not so good to call a classic.","Approah time: 4 minutes. 
 
From the parking lot, head down the path to the beach. Head a left once you get to the beach, and continue on the sand past the Welcome Wall until you get to the large, prominent boulder on the far end of the sand. 
 
This is the Main Boulder, distinguished by the large sideway half moon shaped seam on the slab side of the rock and the large, yet strangely far apart jugs on the overhung section.","Fort Rosstafarian 
Grand Finale 
Left Arete 
Living a Dream 
Living a Nightmare 
Living La Vida Loca"
Fort Ross,Traverse Cliff,"38.52353, -123.26376",The warmup wall is a small section good sandstone on the otherwise dirty cliff between the beach and PCH. Its about 30 feet across and most of the better climbing is on the bottom 10 feet. Usually the bottom is traversed as a good warmup before heading over to the main boulder.,To approach walk down the path from the parking lot and head left when you get to the beach. The wall is on the left on the way to the main boulder.,"Fort Ross Traverse, The"
Boxcar Woody Boulders,The Boxcar Woody,"38.38903, -121.98471",The largest boulder furthest to the Right. Offering high quality traverses with thin sequential pumpfests on it's steeper side and long slow burns on either of it's longer less vertical sides. There's something for just about everyone of every ability on this boulder and is a great place to get in shape for longer sport routes.,Hop the fence and you're there.,"Bald is Beautiful 
Boxcar Traverse 
Cow Piss 
Forced March 
Watering Hole"
Boxcar Woody Boulders,2nd From the Left,"38.38896, -121.98467",The boxcar woody boulders consist of 4 parallel boulders. When facing the boulders from the road this is the 2nd boulder from the left and is one of the smaller of the boulders.,See directions to the Boxcar Woody area.,"Cow Plops 
Slope A Dope"
Boxcar Woody Boulders,3rd from the Left,"38.38899, -121.98467",The Boxcar Woody boulders consist of four parallel boulders all facing the road. When looking at the boulders from the road this is the third from the left.,See Boxcar Woody discription.,Your Mama
Boxcar Woody Boulders,Spotlight Boulder,,"While standing on the road, the Spotlight boulder is the one located furthest to the LEFT. 
 
This boulder seemingly offers little beyond a few different variations to it's traverses and a couple short problems for the desperate. However, what few routes it does have are of fairly decent quality. And a bonus is that it's located near a street light which illuminates it's longest side for some interesting late evening bouldering sessions.",It's the boulder on the Left (south). It takes about 25 seconds to get there from the road.,"Bassalt applicator 
Burn Baby Burn 
Night Hawk 
Sun Spot Traverse 
Swing of Things"
Hillcrest Boulders,Hidden Boulder,"38.39037, -121.99158","Ironically, the Hidden Boulder is one of the biggest of the Hillcrest boulders, but that doesn't prevent it from being hidden as you approach it. But once you get there you'll find numerous problems with a few of them being extremely highball. The (downhill) side of the rock is where you'll find the highball stuff on vertical faces, and the steeper stuff is uphill from that and much shorter.","From the Saddle Boulders, take the well-maintained trail above them up hill to the right. The trail ascends a steep slope then turns slightly to the left going to the top of the hill. Stay on this trail until you see the hidden boulder on your right about 50 feet off the trail. You can't miss it.","40 oz Traverse, The 
Brass Monkey 
Gimme My Forty Sucka 
Natural Disaster 
Rift, The 
Straight Shooter"
Hillcrest Boulders,Mad Cow Boulder,"38.39329, -121.98694","The Mad Cow Boulder is one of the smaller rocks of the Hillcrest boulders, but has some fun problems and is your best bet for warming up. The Mad Cow Boulder is almost perfectly vertical and though fairly short, it's still just tall enough you wouldn't want to fall off the top without a pad. This boulder is known for it's unique bread loaf pinches, high quality solid rock and perfectly flat groomed landing, so long as the Mad Cows stay off it in the winter!","Walk off Hillcrest drive and head a little right through the closed gate. Once through the gate, follow the main trail meandering through a nice boulder field. After a minute or so the trail will turn left and the Mad Cow Boulder will be easily identified sitting almost in the path of the trail strait ahead of you.","Bovine Face 
Howling Mad 
Mad Cow Traverse 
Naked Lunch 
Naked Lunge 
Spare Me"
Hillcrest Boulders,Metal Mania Boulder,"38.3938, -121.9867","A short boulder easily identified by it's steep overhanging (though low to the ground)west facing side. Sit start on the far right side and traverse the slightly overhung rock going left. Then finish by going up the steep blocky arete when you're under the highest point of the boulder. Using only heel hooks (V2) makes this route a good core workout, or use the easy foot rail below (V0)to bump the grade down a notch or two for some good steep practice.",Walk up the main trail past the guillotine gate. Metal Mania boulder is one of the first boulders on the right side of the trail sitting nearly on top of the footpath. The problem Metal Mania is on the obviously overhanging (West) side and follows the overhang from a sit start on the far right side of this face.,"Check It 
Metal Mania"
Hillcrest Boulders,Mother Boulder,"38.38941, -121.99205",The tallest boulder at the Nut Tree boulders. Most boulderers never make it to this boulder. It's the tallest and furthest form any point. Several really classic problems exist form V0 to V5+,"Start at the Hillcrest gate and walk up to the saddle boulders, take a right and head up hill to the Hidden boulder. The mother boulder can be found just up hill obscured by a giant oak tree. Approach takes about 15 to 20 minutes for normal folk.","Crispy Critters 
Global Warning 
Jinga 
Mother Nature 
Mother Want Another 
Motherfucker Traverse 
Space Lord 
Ululatos"
Hillcrest Boulders,Saddle Boulders,"38.39059, -121.98784","A couple very overhung problems populate the steep sides of these two boulders located on the saddle between two higher hills. The uphill-facing parts of both rocks however, are not steep at all, making for easy walk-offs.","Upon leaving Hillcrest Road, walk through the gate then straight to the left to pick up the trail that goes under the barbed-wire fence. Follow the faint (and getting fainter) trail straight uphill for about 10 minutes. The lower of the two Saddle boulders should become visable from quite far away. 
 
In case you get disoriented, just uphill from the Saddle boulders is a much better trail that goes between the two hill-tops to the left and right of the saddle.","Biotech 
Bitch Ass Whiney Ho 
Made in the Shade 
Peace Keeper 
Rump Roast 
Saddle Sore 
Saddle Up 
Something Old Made New 
Whisp 
Why Traverse, The"
Hillcrest Boulders,Scootch Boulder,"38.3936, -121.9866","What the Scootch Boulder lacks in height, it makes up for in length. There are several short problems and eliminates on its slightly taller (up hill) Southwest side. This long, short boulder is often overlooked and passed by for the more aesthetically appealing Mad Cow Bolder. But don't be fooled, there are some gems to be found on this little under dog.","Walk in through the gate past Scotts Rock and follow the main trail uphill. As you approach between the first set of boulders, look for a narrow trail leading across the drainage and up hill to a short but long boulder on your left. This is the Scootch Boulder.",Ashes in the Wake
Hillcrest Boulders,Scott's Rock,"38.3938, -121.9856",Boulder sits under tree tops out with a lot of moss. Basalt rock. Be mindful it is close to the homes.,"Approach 1 min. Park at corner on Hillcrest Circle walk up path to a boulder to your left, before the creek crossing and cow gate.","Coulda been Jimi's 
Jimis Butt Crack 
Scott's Traverse 
Should'a been Jimi's 
Smoke Pot Row"
Woodcrest Boulders,Ants Attack Boulder,"38.37573, -121.98365",A short boulder just downhill from a fig tree.,Left side of the Woodcrest trail if heading uphill.,Jayhawk
Woodcrest Boulders,Backside Boulder,"38.37577, -121.98299","The narrow fin shaped boulder next to Kung Fu on the uphill side, with problems Serrated V1 on the west/convex side, and Watch Your Backside VB on the east/concave side. 
 
I don't know what people normally call this boulder, the name just popped into my head when I added this.",Left hand side of the trail at Woodcrest.,Watch Your Backside
Woodcrest Boulders,Beer Boulder,"38.37685, -121.98472","While small, this overhung boulder packs quite a punch. 
 
Current problems range from V1 to V5, almost all with a decent landing underneath and all overhung. 
 
Beware for loose rock and holds on this highly featured 10' rock, as then many potential eliminates will cause some breakage as time goes by. 
 
Two excellent traverses cross the rock, the left to right traverse Miller Time (V2) is pumpy and excellent the whole way. 
 
This rock is part of the Woodcrest boulders, and sits in the shadow of the larger Stonewall rock, which is just to the left of this smaller rock. All climbing faces away from the path on the overhung side of the rock.","Approach time: 6 minutes. 
 
From the gate heading into the open space, head left and then uphill on the dirt road about 150 yard until you come to another gate which heads into the open space on the right side of the road, and may or may not be locked. Worm your way into the open space, and continue up the path which heads uphill and is directly in front of you. 
 
Follow this path uphill about 200 yards past several of the other rocks which hold problems, until a short (12"") stone wall surrounds a large rock just to the left of the path. Go 25' around the wall to the right, and the flat unclimbable side of Oh Brother Where Art Thou Rock is present 10 feet from the path on the right.","Miller Time 
Tastes Great"
Woodcrest Boulders,The Boulder of Bloody Madness,"38.37625, -121.98607","another great basalt boulder with a few moderate up problems and a very good, very pumpy and long right to left traverse.",this boulder is uphill from the stonewall boulder about a 1-2 min. hike.,"Bloody Madness 
Mo Foe 
Serial Dilution 
Stoned Dangler"
Woodcrest Boulders,Cattle Drive Rock,"38.37595, -121.98382","This Basalt Boulder is easily distinguished by it's West face which features an overhanging roof that jets out from the top about 4 or 5 ft. About 15 feet high, this large boulder has something for everyone who isn't afriad of falling from sketchy places. Highball face climbs, excellent traverses, and a nice large roof with lots of loose rock over the crest. 
 
All climbing on this rock faces either West or South, So you will probably be in the sun unless the sun has already set or it's quite early in the morning. 
 
Walk off the rock towards the main path.","Approach time: 5 minutes. 
 
From the road, head uphill on the dirt road about 150 yards until you come to a gate which heads into the open space lands. Hop the gate or wiggly your way through the split in the fence and continue up the obvious path which heads uphill. 
 
Follow this path uphill about 150 yards past several other rocks which hold problems until you reach a rock on the left that has a large roof on the uphill face that is about 15 feet high. It sits about 30 yards to the left of the path, though the roof is easily seen from the path. 
 
This is Cattle Drive rock.","Cattle Drive 
Cow Tipping 
Down and Out 
Last Resort"
Woodcrest Boulders,The Cube,"38.3758, -121.9831",The Cube is a short (8ft tall) cube shaped boulder along the lower Woodcrest boulders below the Tidbit boulder and above Wild thing boulder.,Pass through the cattle gate at the Woodcrest boulders and walk uphill. The first boulders on your left will be Wild Thing and Nature boulders. Walk past those and the Serrated and Kung Fu boulders (short steep overhung boulder) and the Cube boulder will be the short cube shaped one with a flat top.,"Cube, The 
Stuper Man"
Woodcrest Boulders,Kung Fu boulder,"38.37571, -121.98296","Just up hill from the Wildside and Nature Boulders. The Kung Fu boulder is easily identified by it's short but very steep, overhanging Southeast face. Though this boulder is pretty short, the routes are a great warm up or a nice stop when doing a circuit.","After crossing the Cattle gate, walk up hill between the Nature and Wildside boulders and continue up the trail about 150ft and the Kung Fu boulder will be an obvious short but steeply overhanging boulder on your right.","Aerial Kung Fu 
Slick 50"
Woodcrest Boulders,Nature Boulder,"38.3756, -121.98284","The Nature boulder is the lowest and first boulder you'll come up to on your left when approaching the Woodcrest boulders after crossing the cattle gate. The Nature Boulder is a somewhat inconspicuous boulder as seen from the trail, but when approached it's dead vertical faces and abundance of holds would inspire any boulderer to drop pad and take a sample of what this boulder has to offer.","From the cattle gate, walk up the trail to the first series of boulders to the left of the trail. The Nature boulder is the one just under (left) the wildly overhanging side of the Wildside Boulder.","J.T. Baker 
Nature Calls Traverse"
