parent location,location,long lat,description,directions,route names
Woodcrest Boulders,Stonewall Rock,"38.37668, -121.98461","Stonewall rock has consistently the best rock in the Woodcrest section of the Vacaville Boulders. Basalt all the same, the rock is less vertical than most of the other climbing in the area, and is a little more weathers, making the holds more slopey in contrast with the typical jagged jug of the rest of Vacaville. 
 
Named because of the 12"" stone wall that surrounds most of the climbing on the rock, the area inside the stone wall (except for broken glass) is a nice flat place to land. While the stone wall certainly gives a nice place to rest, it is a little too close to the rock sometimes, so having a spotter around is a good idea. 
 
There are also several harder routes in the slot behind the main part of Stonewall Rock, though the slot is narrow enough to break your tailbone if you fall. Stonewall Faces Northeast, leaving at least some of the rock in the shade most of the time. 
 
All routes top out into the loose rock above and walk off to the left edge of the stone wall. If you got pads below, jumping off past the final move of the route will save you the rather lengthy and somewhat precarious downclimb. 
 
The Stonewall Traverse (V1) heads across the face right to left is an awesome 20' route of sustained V1 traverse moves.","Approach time: 6 minutes. 
 
From the gate heading into the open space, head left and then uphill on the dirt road about 150 yard until you come to another gate which heads into the open space on the right side of the road, and may or may not be locked. Worm your way into the open space, and continue up the path which heads uphill and is directly in front of you. 
 
Follow this path uphill about 200 yards past several of the other rocks which hold problems, until a short (12"") stone wall surrounds a large rock just to the left of the path. If you're not sure, a 5' boulder hides a slotted cave with some SKETCHY climbs up an overhung face on the backside of the rock. 
 
This is Stonewall Rock.","Bulge, The 
Buttcracker 
Nutcracker 
Stonewall Traverse"
Woodcrest Boulders,Tidbit Boulder,"38.37585, -121.98328","The Tidbit boulder is a rather large boulder recognised by it's very vertical faces hosting great traverses, easy to moderate problems and near all day sun.",The Tidbit Boulder is the next boulder just downhill (East) from Cattle Drive Rock.,"Groove Machine 
Tidbit 
Tidbit Traverse 
Tonka"
Woodcrest Boulders,Urban Myth Boulder,"38.37611, -121.98283",Wedged shape boulder behind the DNA boulder.,Walk uphill to the right.,Urban Myth
Woodcrest Boulders,Wildside Boulder,"38.37565, -121.9828",The very first boulder you will encounter to the left of the main trail after crossing the cattle gate. This boulder is easily defined by it's wildly overhanging south facing side and is perched just above the Nature Boulder.,"From the cattle gate, walk up the main trail about 80 yards and divert off to the left to the first obviously climbable boulders you'll see to your left.","Underworld 
Wildside"
Putah Creek,Heavy Metal Boulder,"38.51669, -122.05585","The Heavy Metal Boulder at Putah Creek. 
 
Also a placeholder page while I reorganize this area.","From the parking lot take the main trail, and keep left on a climber's trail rather than continuing right to the beach.","""Death Metal"" 
Crooked Cross Traverse 
Heavy Metal 
Heavy Metal Traverse 
Unnamed Arete 
Warm Up, The"
Putah Creek,The Mud-Hole Boulder,"38.51673, -122.05564",Fortunately this one didn't live up to its name on a drought year. Another smaller boulder in clear view from Heavy Metal.,Walk past Heavy Metal and take a left.,
Putah Creek,Purgatory Boulder,"38.51657, -122.05583",The periodically submerged Purgatory Boulder at Putah Creek.,"Past the Heavy Metal Boulder when walking in from the parking lot, on the edge of Putah Creek.","Chocolat 
Hell Awaits 
Purgatory 
Right arete 
S.H.P. 
Unamed V3 
Unnamed V0 
Welcome to the Whine Country"
Putah Creek,Roadside Boulder,"38.51738, -122.05634","Depending on where exactly you park, you might see two tiers of rock in a drainage right under the parking area. The upper level of rock is the Roadside Boulder.","Don't walk directly into this as poison oak grows abundantly on the north side of the boulder. Instead walk the trail down toward the creek, and cut back right to the base of the climbs.","Right arete 
Roadside Traverse"
Putah Creek,The Weasel Boulder,"38.51693, -122.056","Shaded by a huge California Buckeye tree during the three seasons you don't want sun baking you, the Weasel hosts some easy problems.","From parking, take a left turn from the main trail on a climber's route, and enter tree cover.","Chickadee 
Nut Face Crack 
Weasel, The"
Salt Point State Park,Bluff Boulder,"38.59161, -123.34352",A smaller bouler to warm up on right off the ocean. A few easy problems just to get the fingers pumping before you hit the harder stuff.,From the southern parking lot at Fisk Mill Cove head down the bluff trail south until you come to the rock.,"Bluff Traverse 
Bluff Warm Up"
Call Box Rocks,The Quarry,"38.57598, -123.33925",A short shelf right next to the ocean with a handful of climbs.,Directly to the coast from the parking lot. Depending on which trail you take it should be within 100ft once you hit the coastal trail. Left of the very distinct arch.,"Lieback 
Mantle 101 
Slap, The 
Traverse"
Call Box Rocks,Stoney Whiteboots Boulder,"38.57716, -123.34012","A large boulder on the ocean west of the parking pullout. It's about 40 feet tall and has some great scenery. It has a slightly overhanging cliff face looking out on the ocean. Try to time it so you get there at low tide or when the tide is ebbing. Otherwise, you might have to wait around for some of the landings to reappear.",Hike towards the ocean from the pullout. Get to the bluff and start looking for a huge sandstone boulder. Chances are that you will need to go north.,Tufatafoni Traverse
Salt Point State Park,Hidden Boulder,"38.56673, -123.32469",This rock doesn't get as much attention as its local cousins but it houses a few easier high-ballesque problems on almost concrete like sandstone.,"From the pullout at mile marker 42.00, the mushroom boulder is located in view on the right. Just right of the actual mile marker about 20 ft. is a small trail that heads left. Follow this primitive trail for about 100 yards until you reach the Hidden Boulder.",
Salt Point State Park,Johnny Cash Boulders,,"This pair of 10' rocks sit in the quiet trees above highway 1 in Salt Point State Park, secluded from everything but the rocks. Recently developed, these rock hold problems from V1 to V6, on excellent oversized grainy sandstone. In the shade almost all the time, you will find this rock a nice place to spend almost any dry day. 
 
All routes jump off the back. 
 
The as of right now unnamed V4 traverse on the larger boulder is excellent, throwing a sustained pump at you for most of the 25'.",There is a pullout at mile marker 42. The Johnny Cash boulders are uphill and left on a barely evolved path about 200 feet from the pullout.,"Fungus Amungus 
Funky Porcini 
Johnny Cash 
Mud & the Blood & the Beer, The 
Unknown Arete 
Yellowfoot"
Salt Point State Park,North Rock,"38.59782, -123.3529","Hidden amongst the trees deceptively close to the parking lot lies a couple of moderately large cliffs that contain good, but scary highball bouldering on often less than desirable landings. This is the North Rock. 
 
The North Rock contains 15 - 35 foot high bouldering (yes, that's correct... a 35' bouldering area) from V0 to V3, on landings that are better than the South rock. At least it's flat down here. Most of the hard problems throw cruxes at you about 20 feet off the ground over a slab. Bring an army for spotters. The Sandstone and Schist of the North Rock has good spots, though the Schist sectiosn leave some spots (on the traverse in particular) loose a flakey. 
 
The V1 highball Jugular is an excellent route, and ascends the second rightmost arete on excellent Castle Rock - like sandstone. 
 
This rock is always in the shade, but watch out for Poison Oak around the base, especially if you're going to attempt to check out the taller sandstone cliffs to the left of established bouldering. Eventually someone could probably turn the left undeveloped rocks into a great top rope or easy lead area. 
 
All routes walk off the top, which is right in front of the South Rock.","Approach time: 4 minutes. 
 
From the second northmost parking lot: Follow the sign west out of the parking lot for the bluffs trail. Walk about 50 yards, where you will pick up the bluffs trail heading South (left). Walk along the trail about 200 yards past a bridge that passes over the creek, and you'll see the North Rock in the foreground, and the south rock in the background and uphill. 
 
Pick up the climbers trail heading left from the bluffs trail as the trail gets close to the North Rock, and you're there! 
 
It's also possible to pick up the Bluffs Trail from the South.","Jugular 
Off the Heezy"
Secrets,Sabertooth,"38.6074, -123.37048",Located up high on the northern most point.,See map on Secrets page or GPS.,Sabertooth
Secrets,Triceratops Boulder,"38.60389, -123.36885",Right on the coast with a world class problem and variations.,"See map on secrets page or GPS. 
 
Basically follow the trail to the coast then rock hop around out to it.","Caveman 
Triceratops"
Salt Point State Park,The Shroom Boulder,,"If you are looking for one great bouldering problem and a bunch of iffy ones on a rock 100 feet from the road, this is the rock for you. 
 
Like all the rock in Salt Point and Fisk Mill Cove the boulders are sandstone, nice rock if a little over-grown in places due to the humid climate of the area. 
 
This is part of Shroomland, which is the developing bouldering area at Salt Point State Park. This and other rocks of shroomland are uphill from the road and sitting gently in the shade of the hillside just waiting to be brushed and developed.","22 miles north of Jenner on highway 1. There is a pullout at mile marker 42. The Shroom Boulder is about 100 feet Southeast of where you park, you should see it from the road. The path to get to the rock is a bit over grown, but is getting more use.","Between a Rock and a Hard Place 
Hit or Miss 
Vise Grip"
Salt Point State Park,South Rock,,"Hidden amongst the trees deceptively close to the parking lot lies a couple of moderately large cliffs that contain good, but scary highball bouldering on often less than desirable landings. This is the South Rock. 
 
The South Rock contains 25 foot high bouldering from V0 to V4, with potential for harder routes if someone insane enough comes along with the gusto to make damn sure they finish the highball route they've started. This place definately ranks near the top in unprotectable bouldering landings. Imagine a steep terracy hillside full of slippery pine needles and the occasional rock. No amount of crashpads will completely remove the risk from a high fall. 
 
Otherwise - Sandstone bouldering fun... Mmmm!!! Rock on the South Rock is quite good in quality, and the v2 traverse (The Fisk Mill Traverse) is reasonably safe and a quality 75 foot uphill route. 
 
This rock is also always in the shade, so if it's too hot at the beach and you don't want to brave the rocky beach for a swim, wander over to the bouldering of Fisk Mill Cove. 
 
All routes walk off the top.","Approach time: 4 minutes. 
 
From the second northmost parking lot: Follow the sign west out of the parking lot for the bluffs trail. Walk about 50 yards, where you will pick up the bluffs trail heading South (left). Walk along the trail about 200 yards past a bridge that passes over the creek, and you'll see the North Rock in the foreground, and the south rock in the background and uphill. Pick up the climbers trail heading left from the bluffs trail as the trail gets close to the North Rock. Walk Around the rightside of the North Rock (or climb it!) and you're at the South Rock. 
 
It's also possible to pick up the Bluffs Trail from the South.","Crack Head 
Fisk Mill Traverse 
M-80 TR 
Ride or Die TR 
Unknown 
Windmill"
Salt Point State Park,Waterfall Boulders,,Classic highball cliff face. Easy climbs using pockets and cracks.,"From the parking area on Hwy. 1 next to ""Shroomland"" follow the trail down to the waterfall then south past the first boulders to the top of a small 25' cliff. Do a 3rd class downclimb down a gully in the cliff the face on your left is what you are looking for.","Alyssa Milano 
Jump Start"
Sunset Boulders,Hard Boulder,"38.42917, -123.11575","There are several good bouldering routes that head up the second largest rock in the Sunset Boulders, but there are not too many routes that climb to the peak, due primarily to the simplicity and lack of steepness. There are many routes to the top of this rock, though don't expect to find any bolts on the top! There is one bolt about 2/3 of the way up this route that is used to help protect some of the highball bouldering problems that sit below it. 
 
One side of this rock will always be in the shade, while most of the others will be in the sun. 
 
There's also an excellent resting/picnic point on the west face.","Approach time: 5 minutes. 
 
From the turnoff into Gaot Rock State Park, drive ~ 1/4 mile to a large pullout on the left. There are several of these pullouts, and almost all will get you to the rocks. If the road goes up the hill and bends to the right, you've gone a little too far, and should turn around. 
 
From the parking pullout, hike downhill into the meadow, where the rocks are a can't miss. 
 
This is the second highest rock set further back from the ocean than the main rock.","Hard On 
Hard Right 
Hard Up"
Sunset Boulders,Heel Hooker Boulder,"38.42946, -123.11584",Heel Hooker Boulder.,Sunset Boulders at Goat Rock.,Heel Hooker Traverse
Sunset Boulders,Jason’s Boulder,"38.42948, -123.11566",Jason’s Boulder.,Sunset Boulders.,"Jason Dies 
Jason Lives 
Top Traverse"
Sunset Boulders,Lamb Boulder,"38.42923, -123.11578",Routes on other rocks at the Sunset Boulders.,Goat Rock section of Sonoma Coast State Park.,"Calambity 
Rock Scar 
Skullcracker 
Specialist, The"
Sunset Boulders,Mammoth Rock,"38.42931, -123.11552",Mammoth Rock.,Sunset Boulders.,"Final Exam TR 
Mid-Term 
Sunset Traverse 
Undercling Face Problem 
Wam-Up Face"
Sunset Boulders,Potato Chip Boulder,"38.4292, -123.11567",Potato Chip Boulder.,Sunset Boulders.,Potato Chip Face
Sunset Boulders,Ram Rock,"38.42937, -123.11571",Ram Rock.,Sunset Boulders.,"Bulge, The TR 
German Chocolate Cake TR 
Killer Crack TR 
Osprey T,TR 
Pelican Arete TR 
Sea Breeze TR 
Sunset Arete TR 
Sunset Corner T,TR 
Sunset Face Left TR 
Sunset Face Right TR 
Sunset Slab T,TR"
Sonoma Coast State Park,Super Slab,"38.4548, -123.1325","Schist boulders with some good easier problems and some of the best hard ""low-ball"" sit starts and traverses on the coast!",Just north of the town of Jenner on Hwy. 1. Exactly 2.3 miles north of the Hwy. 116 and Hwy. 1 intersection park in turnouts either on the left (westside) of Hwy.1 or on the right (east) side of Hwy.1 directly below the boulders. A short one minute hike will take you from Hwy. 1 to the boulders.,"Abalone 
Bulls on Parade 
Dragonslayer 
Mouse Crack 
Not So Super Slab 
Super Abalone 
Super Slab 
Super Slab Traverse"
Twin Coves,Highest Rock,,"The highest rock at Twin Coves has several faces that all climbing, though none of it is really worth doing. 2 bolts sit atop the rock, one a janky 1/4"" spinning rustpile, and the other a 3/8"" rust thing. Top roping from the bolts is insane. If these bolts were replaced and the rock cleaned up a bit, there could be some interesting, yet loose top rope problems. A psychopath could also traditionally lead a route or two on the East side, though a fall would definately blow some if not all of your pro. 
 
So, what's left is easy highball bouldering problems on really really loose rock. 
 
You can walk up to or off the top, and the view from above is probably the rocks only asset. 
 
You'll find","Approach time: 10 minutes from the parking pullout, 1 minute from the beach. 
 
Once down on the beach, it's the big rock in the center of the bulge.",Chimney
Twin Coves,Isthmus Northeast Boulder,,"This 10' high boulder contains some excellent bouldering eliminates, and also an excellent traverse. 
 
The rock is shist, and is often looser than desired. It will be in the sun or in partial sun almost all day. Routes are on all faces except for those facing South. 
 
This rock will be underwater in a swell, and some sections will be wet during high tide. 
 
Walk off the South side of the rock. 
 
F.Y.I: Yes, I had to look up isthmus, and I did so on this site:enchantedlearning.com/geograph... and it made me feel like a 3rd grader.","From the beach, head to the Northeast side of the isthmus, where you will find the climbable section of this rock.",Center Problem
Twin Coves,Southmost Black Rock,,"This 40' rock will eventually contain some quality tough sport routes, as the rock is actually stable. The North face contains one really highball route, and also some eventual top rope potential. A chimney on the West side could have some potential for a TOUGH chimney route, but without a top rope, I wouldn't try it! 
 
There are no bolts on the top of this rock, and it's really too bad. Climbing up to the top via a Northwest bulge is currently the safest (NOT SAFE) way up and down. 
 
A good swell probably puts the start of any potential climbing under water.","Approach time fron the parking pullout: 11 minutes.From the beach, 2 minutes. 
 
From the beach, head right past the rock with sport routes on it. After reaching the crest of the bulge, continue downhill, where you willl see this black rock 50 feet past the sport rock.",SouthEast Bulge route
Twin Coves,Sport Rock (aka North Pointed Rock),"38.45828, -123.14645","The only established sport routes are on a rock on the North side of the peninsula. There are currently 3 established bolt lines, but other sections can be top-roped with a 10 foot sling. There are also a few bouldering routes. 
 
Schist is the name of the game, and the rock is quite loose in some areas. 
 
Having climbing on all sides of the rock, you will find the sun beating down somewhere on the rock unless it's foggy out. 
 
If you're crazy, you can walk off this rock to the South following the Seagull Arete. Otherwise rappelling off the top bolts is your best bet. 
 
The best route on the wall is definately Blue Heron (5.10c), though top roping the West side of the rock is also an excellent route.","Approach time: 10 minutes from the parking area. 1 minute from the beach.Once down on the beach, head right up and over the bulge. The bolts of Seagull Arete will become visible once you've reached the highest point of the path.","Blue Heron S,TR 
Calimari S,TR 
Seagull Arete S,TR 
South Side Center Top Rope TR 
Wrist Slitter Traverse"
Squaw Cliff Area,Overhung Tooth Boulder,,"This is the 15 foot high boulder that is the only consistently overhung boulder across the river from the bolted routes of Squaw Cliff proper. 
 
There is a very tough section that heads directly up the face of this not so featured rock on the face heading towards the highway, probably in the V8-V10 rating. On the right side, there are some short juggy routes that allow two or three move routes. The left side is home of one arete route that's V3. 
 
Downclimb off the left, which is a simple, but slippery slab. 
 
The base of this rock will probably be under water if the stream is up in the winter, so be mindful.","Estimate approach time: 2 minutes. 
 
From the pullout for the main rock, head downhill and slightly downstream. It looks like a tooth, and is pretty close to the water.",Skillsaw
Squaw Cliff Area,The Untamed Rocks,,Big schist blocks on the side of Hwy. 101 with a few routes and some bouldering.,North of Squaw Rock on the side of Hwy. 101. Parking is potentially illegal but usually o.k. just north of the rocks. If you park across the Hwy. from the rocks then be careful crossing (it might also be illegal).,"Joint Effort S 
Knifeblade Traverse, The 
On A Wing And A Prayer S 
Shrew (aka-Shit Face), The S 
Smoke Crack T 
Trick ot Treat"
Sugarloaf Ridge,The Asteroid Boulders,,"2 15' tall boulders in the creek below lower Canyon Trail. The rock is knobby and slopey with some shorter V0-V3 problems and a long V7 traverse ""The Milky Way Traverse"".",About 2.3 mi. from Hwy. 12 on the left side of Adobe Canyon Rd. is a large dirt turnout/parking lot for goodspeed trail. Drive uphill about 1 more tenth of a mile past that turnout and park at either one of the next 2 turnouts on the right. Canyon Trail starts between these 2 turnouts - take it downhill for about 20' then hang a right and follow a feint deer trail straight down into the creek to The Asteroid Boulders. The Neptune Boulder is just downstream from The Asteroids or directly below the first turnout on the right.,"Fifth Element, The 
Milky Way Traverse, The 
Neptune"
Sugarloaf Ridge,Canyon Trail Boulder,,"This 10 foot high boulder is the most accessable of all the rocks on the Canyon Trail, sitting just off the Canyon Trail. As with all the Canyon Trail boulders, this is in the shade all the time, and is an excellently cool place to spend a hot summer afternoon. 
 
The Rock is mostly solid volcanic tuff, and all routes face away from the Canyon Trail, which you jump back onto on the descent off the backside of the boulder. 
 
All climbs sit on the face away from the road, and climbing is excellent warmups in the V1 to V3 range. 
 
A fun V2 campus problem starts on the leftside sloper with both hands matched and moves up three consecutive bulges. There's also a short traverse that moves low from the right and moves left up into the slot.","Approach time from the car: 3 minutes. 
 
To get to this boulder, drive 3.3 miles up Adobe Canyon Road from highway 12 into the Sugarloaf Ridge State Park to a 8-12 car pullout on your left. Park. 
 
Cross the street and head downhill on the Canyon Trail, which will have a small 3' high sign pointing you in the right direction. 
 
Walk downhill on the windy and gently steep trail to the first distinct boulder which grows from nothing into a decently sized boulder on your left, which is the Canyon Trail Boulder. Climbing is on the other side, and is just barely viewable from the trail a little further down the trail.","Kids' Climb, The 
Trailblazer 
Trailblazer Arete 
Trailblazer Traverse"
Sugarloaf Ridge,Hide Out Boulder,"38.43828, -122.52059",A nice boulder with mostly beginner and a few harder ones on it. Solid rock quality and a good landing.,This boulder is just above the Canyon Trail Boulder (CTB). The simplest way to get there is to go to the CTB and start walking uphill looking for a narrow but well trodden path.,"Bunchgrass 
Four Ferns 
Hide 
Leaf Liter 
Seek 
Sweet Leaf"
Sugarloaf Ridge,Love and Hate,,"All bouldering, this short rock contains the easiest established route on the Canyon Trail, and also other variations and problems up to V4. 
 
The rock is solid, in the shade, and a great place to hangout in a secluded setting. 
 
While the landing is flat, a spotter is good in case someone attempts to tumble past the landing zone, where the downhill slope would its justice. 
 
All routes top out off the top of the left side, and you can easily walk off the back side of the rock. 
 
Love and Hate (V4) is an excellent scrunchy traverse that runs below the arete of the top of the rock.","Approach time: 8 minutes. 
 
To get to this boulder, drive 3.3 miles up Adobe Canyon Road from highway 12 into the Sugarloaf Ridge State Park to a 8-12 car pullout on your left. Park. 
 
Cross the street and head downhill on the Canyon Trail, which will have a small 3' high sign pointing you in the right direction. 
 
Walk downhill on the windy and gently steep trail past the Canyon Trail Boulder, which will be the obvious 12 foot high on the left. Continue downhill just past the first drainage break, and continue on about 200 yards, where you will see a large mossy boulder on your left. Walk towards this boulder and past it heading downhill, and the SugarSmack Boulder will be the second boulder that you run into, looking like a cube sitting on a point. 
 
Go 20' downhill from the Sugarsmack boulder to the next boulder, and the problems of the Love and Hate boulder are on the other side of the rock.","Hate 
Love 
Love and Hate"
Sugarloaf Ridge,The Sacred Rocks,,Boulders in a creek with V0 - V6 problems and an excellent long traverse that goes at either V2/V3 or V4/V5!,About 2.3 mi. from Hwy. 12 on Adobe Canyon park at the large dirt turnout/parking lot on the left-side of the road. Take Goodspeed Trail from this parking area past the 2 bridges then take a right and follow the creek upstream for roughly 10-15 min. to The Sacred Rocks which can't be missed because they sit on either side of the creek and form an arch over the creek!,"Call of the Wild 
Sacred Traverse, The 
Sugar Traverse, The 
White Fang 
 
Unsorted Routes:
Unsorted Routes:
Unsorted Routes:"
Sugarloaf Ridge,Sugar and Spice,,highball arete and face problems!,just off of canyon trail at the top of the stairs above the waterfall go off into the trees toward the creek to find.,"Spice 
Suga Mama 
Sugar 
 
Unsorted Routes:
Unsorted Routes:
Unsorted Routes:"
Sugarloaf Ridge,SugarSmack Boulder,,"Looking a lot like a sugarcube, this almost sidelaid dice boulder sits just downhill from the Canyon Trail, and is part of the Canyon Trail Boulders. 
 
While this 15 foot high boulder contains only a few problems of (comparitively) hard ratings, the Canyon Trail is still under development, and you'll find the climbing from 5.8 to V4 on the Sugarcube. Highball climbs on the downhill side of the Sugarcube require some interesting crashpad placements, as the steep hillside could potentially yield some nasty spills. 
 
The shady trees make this an excellent escape from the relentless sun in the summer months, though it will be cool and wet in the winter. 
 
Watch out for poison oak. While not everywhere, it's definately around in the park.","Approach time: 8 minutes. 
 
To get to this boulder, drive 3.3 miles up Adobe Canyon Road from highway 12 into the Sugarloaf Ridge State Park to a 8-12 car pullout on your left. Park. 
 
Cross the street and head downhill on the Canyon Trail, which will have a small 3' high sign pointing you in the right direction. 
 
Walk downhill on the windy and gently steep trail past the Canyon Trail Boulder, which will be the obvious 12 foot high on the left. Continue downhill just past the first drainage break, and continue on about 200 yards, where you will see a large mossy boulder on your left. Walk towards this boulder and past it heading downhill, and the SugarSmack Boulder will be the second boulder that you run into, looking like a cube sitting on a point. All problems are on the downhill sides, and are not visible from the approach.","Finger Tingla 
Finger Tingla Traverse 
Sugar Smack 
SugarSmack Traverse"
Sugarloaf Ridge,Triangle Boulder - Sugarloaf Ridge,"38.4386, -122.52252","This short bouldering rock is only about 7' high. However, the 5-10 routes on the rock are quite varied in difficulty, from V0 to V5, and also a very hard project. The rock on the Triangle Boulder is quite stable, considerably more so than many of the other rocks of the Canyon Trail. 
 
The landings are uncharacteristically flat for the rocks of the area. 
 
The descent off the top of this short boulder is fun and committing. Jump off the top onto the grassy hillside just to the climber's right of the routes. 
 
Traingle Arete (V3) is a fun and pumpy short route.","Approach time: 9 minutes. 
 
To get to this boulder, drive 3.3 miles up Adobe Canyon Road from highway 12 into the Sugarloaf Ridge State Park to a 8-12 car pullout on your left. Park. 
 
Cross the street and head downhill on the Canyon Trail, which will have a small 3' high sign pointing you in the right direction. 
 
Walk downhill on the windy and gently steep trail past the Canyon Trail Boulder, which will be the obvious 12 foot high rock on the left that grows out of the hillside. Continue downhill just past the first drainage break another 200 yards, where you will see a large mossy boulder on your left. Walk towards this boulder and past it heading downhill, and the Sugarsmack Boulder will be the scond boulder that you run into, looking like a cube sitting on a point. 
 
Continue past the Sugarsmack boulder traversing the hillside, and the Triangle boulder sits just above a flat rock about 50 yards down.","Pyramid Power 
Triangle Arete"
Indian Rock Side ,Clamshell Boulder,"37.23069, -122.09325",Home of the Clam and other problems.,About 50 feet left and downhill of Indian cracks. ~1/8th mile from the parking lot.,
Indian Rock Side ,Hash Rock,"37.23134, -122.09368","Hash Rock is right in front of the main Indian Rock. Nothing that great on it, but a good warm up for the area.",Following the trail from the parking lot will take you straight to it.,
Indian Rock Side ,Indian Cracks,"37.2302, -122.09347","With a handful of quality moderate boulder problems with great landings, this boulder is deservedly popular. There are a few harder routes (traverses, mainly) which I didn't have time to work on, but which may be worth checking out. 

The obvious ""splitter"" crack on the front face of the boulder is called ""Indian Crack"", V0. 

Routes from left to right, starting with Indian Crack, VO are 

1) Indian Crack, V0 
2) Easy Mantle, V0 (also on the front face) 
3) Honey Dipper, V2 (first route on the right face) 
4) 1 1/4"" Crack, V1 (fifteen feet down from Honey Dipper) 

There is also a V5 traverse starting at route 4 and finishing at route 1. I didn't try it but it looked cool. Reportedly there is a V7 traverse on the backside of the boulder, but it didn't look like much. 

Descend from all problems via a 4th class chimney on the left side. Some has taken the liberty of tick-marking all the useful footholds for this descent, which to me seemed excessive, but to each his own I guess.","Park as for Indian Rock. Go right of the obvious visible boulder and follow a faint trail (parallel to the access trail for Indian Rock, perpendicular to the road) for about 100 feet through the trees. You will soon be greeted by the obvious Indian Crack boulder and its eponymous V0 Indian Crack boulder problem.",
Indian Rock Side ,Lost Keys Bouldering,"37.23121, -122.09139",Lost Keys boulder.,"Indian Rock side of the park, down the hill.",
Indian Rock Side ,Lower Indian Rock,"37.23166, -122.09346",Assorted boulders below Indian Rock.,"Follow the trail to Indian Rock. Once there, follow a trail that curves around the right side of Indian Rock, then another trail heads downhill. You should see Santa Cruz Dude immediately on your right.",
Indian Rock Side ,Nature Nazi Boulders,"37.23108, -122.09482",Rad little area with some classics!,Walk along the trail heading north from the Indian Rock parking lot. Boulders on the left side of the trail about 250 yds down.,
Indian Rock Side ,Roadside Boulder,"37.23012, -122.09339","The very first boulder when you walk through the gate 20ft in front of you. Only has 1 established climb on it, but there may be some potential with some sketchy landings.",Literally right in front of you once you walk through the gate.,
Indian Rock Side ,Thee Classic,"37.23139, -122.09339",Thee Classic. Also contains Sharma Arete (V9).,"As you walk down the trail past the right side of Indian rock, this is the obvious line characterized by a large chalked up hueco in the middle. Pretty much directly under Donkey Dong.",